"arc_length"	"p"
0	0
0.075	253.532
0.15	507.063
0.225	760.595
0.3	1014.13
0.375	1267.66
0.45	1521.19
0.525	1774.72
0.6	2028.25
0.675	2281.78
0.75	2535.32
0.825	2788.85
0.9	3042.38
0.975	3295.91
1.05	3549.44
1.125	3802.97
1.2	4056.51
1.275	4310.04
1.35	4563.57
1.425	4817.1
1.5	5067.31
1.575	5308.38
1.65	5549.45
1.725	5790.52
1.8	6031.59
1.875	6272.66
1.95	6513.73
2.025	6754.8
2.1	6995.86
2.175	7236.93
2.25	7478
2.325	7719.07
2.4	7960.14
2.475	8201.21
2.55	8442.28
2.625	8683.35
2.7	8924.42
2.775	9165.49
2.85	9406.56
2.925	9647.63
3	9882.51
3.075	10112
3.15	10341.5
3.225	10570.9
3.3	10800.4
3.375	11029.9
3.45	11259.3
3.525	11488.8
3.6	11718.3
3.675	11947.7
3.75	12177.2
3.825	12406.7
3.9	12636.2
3.975	12865.6
4.05	13095.1
4.125	13324.6
4.2	13554
4.275	13783.5
4.35	14013
4.425	14242.5
4.5	14462.9
4.575	14681
4.65	14899.1
4.725	15117.3
4.8	15335.4
4.875	15553.6
4.95	15771.7
5.025	15989.8
5.1	16208
5.175	16426.1
5.25	16644.3
5.325	16862.4
5.4	17080.5
5.475	17298.7
5.55	17516.8
5.625	17734.9
5.7	17953.1
5.775	18171.2
5.85	18389.4
5.925	18606.8
6	18813.7
6.075	19020.7
6.15	19227.7
6.225	19434.7
6.3	19641.7
6.375	19848.7
6.45	20055.7
6.525	20262.7
6.6	20469.6
6.675	20676.6
6.75	20883.6
6.825	21090.6
6.9	21297.6
6.975	21504.6
7.05	21711.6
7.125	21918.5
7.2	22125.5
7.275	22332.5
7.35	22539.5
7.425	22742.8
7.5	22938.8
7.575	23134.8
7.65	23330.8
7.725	23526.8
7.8	23722.8
7.875	23918.8
7.95	24114.8
8.025	24310.8
8.1	24506.8
8.175	24702.8
8.25	24898.8
8.325	25094.7
8.4	25290.7
8.475	25486.7
8.55	25682.7
8.625	25878.7
8.7	26074.7
8.775	26270.7
8.85	26466.7
8.925	26656.2
9	26841.3
9.075	27026.5
9.15	27211.6
9.225	27396.8
9.3	27581.9
9.375	27767.1
9.45	27952.2
9.525	28137.4
9.6	28322.5
9.675	28507.7
9.75	28692.8
9.825	28878
9.9	29063.1
9.975	29248.3
10.05	29433.4
10.125	29618.6
10.2	29803.7
10.275	29988.9
10.35	30174
10.425	30349.9
10.5	30524.4
10.575	30698.8
10.65	30873.3
10.725	31047.7
10.8	31222.2
10.875	31396.6
10.95	31571.1
11.025	31745.5
11.1	31920
11.175	32094.4
11.25	32268.9
11.325	32443.3
11.4	32617.8
11.475	32792.2
11.55	32966.7
11.625	33141.1
11.7	33315.6
11.775	33490
11.85	33663.1
11.925	33826.9
12	33990.8
12.075	34154.7
12.15	34318.6
12.225	34482.5
12.3	34646.3
12.375	34810.2
12.45	34974.1
12.525	35138
12.6	35301.9
12.675	35465.8
12.75	35629.6
12.825	35793.5
12.9	35957.4
12.975	36121.3
13.05	36285.2
13.125	36449
13.2	36612.9
13.275	36776.8
13.35	36936.5
13.425	37090
13.5	37243.4
13.575	37396.8
13.65	37550.3
13.725	37703.7
13.8	37857.2
13.875	38010.6
13.95	38164
14.025	38317.5
14.1	38470.9
14.175	38624.4
14.25	38777.8
14.325	38931.3
14.4	39084.7
14.475	39238.1
14.55	39391.6
14.625	39545
14.7	39698.5
14.775	39851.9
14.85	39998.5
14.925	40141.6
15	40284.7
15.075	40427.8
15.15	40571
15.225	40714.1
15.3	40857.2
15.375	41000.3
15.45	41143.5
15.525	41286.6
15.6	41429.7
15.675	41572.8
15.75	41716
15.825	41859.1
15.9	42002.2
15.975	42145.3
16.05	42288.5
16.125	42431.6
16.2	42574.7
16.275	42717.8
16.35	42851.4
16.425	42984.4
16.5	43117.3
16.575	43250.2
16.65	43383.1
16.725	43516.1
16.8	43649
16.875	43781.9
16.95	43914.8
17.025	44047.8
17.1	44180.7
17.175	44313.6
17.25	44446.5
17.325	44579.4
17.4	44712.4
17.475	44845.3
17.55	44978.2
17.625	45111.1
17.7	45244.1
17.775	45375
17.85	45497.8
17.925	45620.6
18	45743.5
18.075	45866.3
18.15	45989.1
18.225	46112
18.3	46234.8
18.375	46357.6
18.45	46480.5
18.525	46603.3
18.6	46726.1
18.675	46849
18.75	46971.8
18.825	47094.6
18.9	47217.5
18.975	47340.3
19.05	47463.1
19.125	47586
19.2	47708.8
19.275	47827
19.35	47939.8
19.425	48052.7
19.5	48165.5
19.575	48278.4
19.65	48391.2
19.725	48504.1
19.8	48616.9
19.875	48729.7
19.95	48842.6
20.025	48955.4
20.1	49068.3
20.175	49181.1
20.25	49294
20.325	49406.8
20.4	49519.7
20.475	49632.5
20.55	49745.4
20.625	49858.2
20.7	49971.1
20.775	50076.7
20.85	50179.6
20.925	50282.6
21	50385.5
