TITLE		= "tecplotausgabe"
VARIABLES	= "X"
"Y"
"u_x"
"u_y"
"v_x"
"v_y"
"vf_x"
"vf_y"
"p"
"Op"
"TSE11"
"TSE22"
"TSE12"
"SIG11"
"SIG22"
"SIG12"
"EPS11"
"EPS22"
"EPS12"
"N_S"

ZONE T	="+5.8000000E+01"
N=1653, E= 510, F=FEPOINT, ET=Quadrilateral
+7.5000000E+00 +7.5000000E+01 -1.4777166E-02 +5.8989718E-02 -1.9779820E-06 +8.7958086E-04 -1.9776739E-06 +5.7729760E-04 +0.0000000E+00 +1.9345694E-04 -6.4972483E+04 +8.2488520E-02 -2.1883230E-01 -6.4972483E+04 +8.2488517E-02 -2.1883230E-01 -1.9707566E-03 +8.4431620E-04 -9.4813698E-09 +1.7019121E-01 
+6.0000000E+00 +7.5000000E+01 -1.1821214E-02 +5.8975992E-02 -1.6873145E-06 +8.8234950E-04 -1.6867035E-06 +5.8003171E-04 +0.0000000E+00 +1.9340162E-04 -6.4964571E+04 +1.7739577E-01 -1.8416496E-01 -6.4964571E+04 +1.7739577E-01 -1.8416496E-01 -1.9705178E-03 +8.4421620E-04 -7.9793339E-09 +1.7019119E-01 
+6.0000000E+00 +7.3521880E+01 -1.1808941E-02 +5.7732224E-02 -4.1628602E-06 +8.8138830E-04 -4.1845781E-06 +5.7957942E-04 -1.8556067E+02 +1.9037239E-04 -6.4973796E+04 -1.8602428E+02 -6.0042798E+00 -6.4788285E+04 -5.1243986E-01 -6.0042798E+00 -1.9683764E-03 +8.3868661E-04 -2.6014773E-07 +1.7019177E-01 
+7.5000000E+00 +7.3520000E+01 -1.4761607E-02 +5.7744244E-02 -5.1166297E-06 +8.7864359E-04 -5.1419958E-06 +5.7688414E-04 -1.8578057E+02 +1.9040981E-04 -6.4979092E+04 -1.8598555E+02 -6.7416880E+00 -6.4793362E+04 -2.5569650E-01 -6.7416880E+00 -1.9685376E-03 +8.3875664E-04 -2.9209746E-07 +1.7019178E-01 
+6.7500000E+00 +7.5000000E+01 -1.3299146E-02 +5.8982446E-02 -1.8415346E-06 +8.8104759E-04 -1.8412763E-06 +5.7874715E-04 +0.0000000E+00 +1.9342928E-04 -6.4968444E+04 +1.2243772E-01 -1.6261413E-01 -6.4968444E+04 +1.2243772E-01 -1.6261413E-01 -1.9706346E-03 +8.4426489E-04 -7.0455989E-09 +1.7019120E-01 
+6.0000000E+00 +7.4260940E+01 -1.1815159E-02 +5.8353087E-02 -2.9086240E-06 +8.8207506E-04 -2.9206458E-06 +5.7937641E-04 -9.2780334E+01 +1.9188700E-04 -6.4969503E+04 -9.3006844E+01 -3.2077605E+00 -6.4876723E+04 -2.2662938E-01 -3.2077605E+00 -1.9694557E-03 +8.4145302E-04 -1.3898288E-07 +1.7019148E-01 
+6.7500000E+00 +7.3520940E+01 -1.3285245E-02 +5.7737827E-02 -4.6456734E-06 +8.8009804E-04 -4.6703410E-06 +5.7831373E-04 -1.8567062E+02 +1.9039110E-04 -6.4976411E+04 -1.8602628E+02 -6.3884735E+00 -6.4790790E+04 -4.0531872E-01 -6.3884735E+00 -1.9684557E-03 +8.3872054E-04 -2.7679371E-07 +1.7019177E-01 
+7.5000000E+00 +7.4260000E+01 -1.4769478E-02 +5.8365953E-02 -3.5288004E-06 +8.7931987E-04 -3.5418805E-06 +5.7664329E-04 -9.2890286E+01 +1.9193337E-04 -6.4975942E+04 -9.3002264E+01 -3.6112523E+00 -6.4883052E+04 -1.1200962E-01 -3.6112523E+00 -1.9696511E-03 +8.4153688E-04 -1.5646500E-07 +1.7019150E-01 
+4.5000000E+00 +7.5000000E+01 -8.8655941E-03 +5.8965470E-02 -1.3294592E-06 +8.8447173E-04 -1.3292254E-06 +5.8212536E-04 +0.0000000E+00 +1.9335478E-04 -6.4957896E+04 +2.4481409E-01 -1.4185326E-01 -6.4957896E+04 +2.4487499E-01 -1.4185326E-01 -1.9703162E-03 +8.4413144E-04 -6.1460904E-09 +1.7019117E-01 
+4.5000000E+00 +7.3523760E+01 -8.8564970E-03 +5.7723388E-02 -3.1644175E-06 +8.8349070E-04 -3.1845197E-06 +5.8163639E-04 -1.8533782E+02 +1.9034145E-04 -6.4969259E+04 -1.8598439E+02 -4.8401585E+00 -6.4783967E+04 -6.9307238E-01 -4.8401585E+00 -1.9682393E-03 +8.3862881E-04 -2.0970979E-07 +1.7019175E-01 
