TITLE		= "tecplotausgabe"
VARIABLES	= "X"
"Y"
"u_x"
"u_y"
"v_x"
"v_y"
"vf_x"
"vf_y"
"p"
"Op"
"SIG11"
"SIG22"
"SIG12"
"EPS11"
"EPS22"
"EPS12"
"N_S"

ZONE T	="+1.0400000E+02"
N=1653, E= 510, F=FEPOINT, ET=Quadrilateral
+7.5000000E+00 +7.5000000E+01 -2.8188016E-03 -2.1822701E-02 -2.9811537E-05 -2.7570066E-04 -2.9813852E-05 +6.1214954E-05 +0.0000000E+00 +6.2587803E-10 -2.1119881E+04 -2.0420890E+04 +3.3280957E-01 -3.7517984E-04 -3.4488899E-04 +1.4422325E-08 +1.7012243E-01 
+6.0000000E+00 +7.5000000E+01 -2.2557654E-03 -2.1810144E-02 -2.3849230E-05 -2.7570066E-04 -2.3855039E-05 +6.1226448E-05 +0.0000000E+00 +6.5052494E-10 -2.1131311E+04 -2.0420990E+04 +2.6285142E-01 -3.7552525E-04 -3.4474343E-04 +1.1390684E-08 +1.7012247E-01 
+6.0000000E+00 +7.3521880E+01 -2.2671234E-03 -2.1305047E-02 -2.3849230E-05 -2.7026708E-04 -2.3856797E-05 +6.0710799E-05 +2.0847142E+02 +1.7777633E-09 -2.1316466E+04 -2.0419823E+04 +8.4761541E+00 -3.7755586E-04 -3.3869978E-04 +3.6731470E-07 +1.7012179E-01 
+7.5000000E+00 +7.3520000E+01 -2.8333075E-03 -2.1316783E-02 -2.9811537E-05 -2.7026017E-04 -2.9814341E-05 +6.0699267E-05 +2.0873223E+02 +1.7177802E-09 -2.1309238E+04 -2.0420078E+04 +9.8684364E+00 -3.7732879E-04 -3.3879699E-04 +4.2764935E-07 +1.7012176E-01 
+6.7500000E+00 +7.5000000E+01 -2.5373473E-03 -2.1816037E-02 -2.6830384E-05 -2.7570066E-04 -2.6833125E-05 +6.1220615E-05 +0.0000000E+00 +6.3820149E-10 -2.1125752E+04 -2.0420923E+04 +2.3736352E-01 -3.7535750E-04 -3.4481368E-04 +1.0286164E-08 +1.7012245E-01 
+6.0000000E+00 +7.4260940E+01 -2.2613294E-03 -2.1556477E-02 -2.3849230E-05 -2.7298387E-04 -2.3843092E-05 +6.8403576E-05 +1.0423571E+02 +1.2141441E-09 -2.1223572E+04 -2.0420305E+04 +4.5422381E+00 -3.7652601E-04 -3.4171641E-04 +1.9683819E-07 +1.7012212E-01 
+6.7500000E+00 +7.3520940E+01 -2.5502572E-03 -2.1310532E-02 -2.6830384E-05 -2.7026362E-04 -2.6835822E-05 +6.0705198E-05 +2.0860182E+02 +1.7477717E-09 -2.1312913E+04 -2.0419919E+04 +9.1676297E+00 -3.7744459E-04 -3.3874662E-04 +3.9727984E-07 +1.7012177E-01 
+7.5000000E+00 +7.4260000E+01 -2.8259206E-03 -2.1568613E-02 -2.9811537E-05 -2.7298041E-04 -2.9808554E-05 +6.8402158E-05 +1.0436611E+02 +1.1718291E-09 -2.1214417E+04 -2.0420419E+04 +5.3140916E+00 -3.7624457E-04 -3.4183662E-04 +2.3028651E-07 +1.7012210E-01 
+4.5000000E+00 +7.5000000E+01 -1.6922573E-03 -2.1800585E-02 -1.7886922E-05 -2.7570066E-04 -1.7890945E-05 +6.1236910E-05 +0.0000000E+00 +6.6725427E-10 -2.1140625E+04 -2.0421054E+04 +1.9404141E-01 -3.7580696E-04 -3.4462430E-04 +8.4087973E-09 +1.7012250E-01 
+4.5000000E+00 +7.3523760E+01 -1.7006298E-03 -2.1296275E-02 -1.7886922E-05 -2.7027399E-04 -1.7890360E-05 +6.0725531E-05 +2.0821012E+02 +1.8158531E-09 -2.1322475E+04 -2.0419659E+04 +6.6604054E+00 -3.7774477E-04 -3.3862117E-04 +2.8862911E-07 +1.7012180E-01 
+5.2500000E+00 +7.5000000E+01 -1.9740635E-03 -2.1805002E-02 -2.0868076E-05 -2.7570066E-04 -2.0872926E-05 +6.1231243E-05 +0.0000000E+00 +6.5888960E-10 -2.1136152E+04 -2.0420995E+04 +1.8123211E-01 -3.7567204E-04 -3.4468066E-04 +7.8537056E-09 +1.7012248E-01 
+4.5000000E+00 +7.4261880E+01 -1.6963532E-03 -2.1547321E-02 -1.7886922E-05 -2.7298732E-04 -1.7880499E-05 +6.8404342E-05 +1.0410506E+02 +1.2415537E-09 -2.1231119E+04 -2.0420232E+04 +3.5568491E+00 -3.7675819E-04 -3.4161833E-04 +1.5413629E-07 +1.7012215E-01 
+5.2500000E+00 +7.3522820E+01 -1.9839113E-03 -2.1300302E-02 -2.0868076E-05 -2.7027053E-04 -2.0875523E-05 +6.0719032E-05 +2.0834077E+02 +1.7968082E-09 -2.1319564E+04 -2.0419705E+04 +7.5570840E+00 -3.7765362E-04 -3.3865816E-04 +3.2748674E-07 +1.7012179E-01 
+3.0000000E+00 +7.5000000E+01 -1.1283815E-03 -2.1793866E-02 -1.1924615E-05 -2.7570066E-04 -1.1928832E-05 +6.1242512E-05 +0.0000000E+00 +6.7799420E-10 -2.1147482E+04 -2.0421094E+04 +1.2766130E-01 -3.7601443E-04 -3.4453638E-04 +5.5322107E-09 +1.7012252E-01 
+3.0000000E+00 +7.3525650E+01 -1.1338917E-03 -2.1290308E-02 -1.1924615E-05 -2.7028093E-04 -1.1932350E-05 +6.0736934E-05 +2.0794859E+02 +1.8384207E-09 -2.1326922E+04 -2.0419558E+04 +4.5721379E+00 -3.7788548E-04 -3.3856481E-04 +1.9813390E-07 +1.7012182E-01 
