TITLE		= "tecplotausgabe"
VARIABLES	= "X"
"Y"
"u_x"
"u_y"
"v_x"
"v_y"
"vf_x"
"vf_y"
"p"
"Op"
"TSE11"
"TSE22"
"TSE12"
"SIG11"
"SIG22"
"SIG12"
"EPS11"
"EPS22"
"EPS12"
"N_S"

ZONE T	="+1.0000000E+02"
N=1653, E= 510, F=FEPOINT, ET=Quadrilateral
+7.5000000E+00 +7.5000000E+01 -1.4786916E-02 +6.3348805E-02 -8.7635110E-10 +3.9232795E-07 -8.7621388E-10 +2.5749960E-07 +0.0000000E+00 +1.9365682E-04 -6.4999973E+04 -5.3660590E-06 -2.5535444E-04 -6.4999973E+04 -5.3660602E-06 -2.5535444E-04 -1.9715895E-03 +8.4467116E-04 -1.1063769E-11 +1.7019129E-01 
+6.0000000E+00 +7.5000000E+01 -1.1829532E-02 +6.3348799E-02 -7.4765385E-10 +3.9356292E-07 -7.4738136E-10 +2.5871937E-07 +0.0000000E+00 +1.9365675E-04 -6.4999962E+04 +1.6614274E-04 -2.4103021E-04 -6.4999962E+04 +1.6614274E-04 -2.4103021E-04 -1.9715891E-03 +8.4467103E-04 -1.0443141E-11 +1.7019129E-01 
+6.0000000E+00 +7.3521880E+01 -1.1829527E-02 +6.2100276E-02 -1.8517794E-09 +3.9313513E-07 -1.8613030E-09 +2.5851846E-07 -8.2766006E-02 +1.9365540E-04 -6.4999968E+04 -8.3215379E-02 -8.4021120E-03 -6.4999885E+04 -4.7113549E-04 -8.4021120E-03 -1.9715882E-03 +8.4466857E-04 -3.6403919E-10 +1.7019129E-01 
+7.5000000E+00 +7.3520000E+01 -1.4786910E-02 +6.2098693E-02 -2.2761217E-09 +3.9191076E-07 -2.2872537E-09 +2.5731591E-07 -8.2864203E-02 +1.9365545E-04 -6.4999975E+04 -8.2830552E-02 -8.8727918E-03 -6.4999892E+04 +1.1052406E-05 -8.8727918E-03 -1.9715884E-03 +8.4466868E-04 -3.8443238E-10 +1.7019129E-01 
+6.7500000E+00 +7.5000000E+01 -1.3308224E-02 +6.3348802E-02 -8.1594475E-10 +3.9298218E-07 -8.1582974E-10 +2.5814627E-07 +0.0000000E+00 +1.9365679E-04 -6.4999968E+04 +7.6296611E-05 -2.0450376E-04 -6.4999968E+04 +7.6296611E-05 -2.0450376E-04 -1.9715893E-03 +8.4467110E-04 -8.8605558E-12 +1.7019129E-01 
+6.0000000E+00 +7.4260940E+01 -1.1829530E-02 +6.2724537E-02 -1.2924103E-09 +3.9344085E-07 -1.2976901E-09 +2.5842764E-07 -4.1383003E-02 +1.9365608E-04 -6.4999965E+04 -4.1590534E-02 -4.4544771E-03 -6.4999924E+04 -2.0758343E-04 -4.4544771E-03 -1.9715887E-03 +8.4466980E-04 -1.9299959E-10 +1.7019129E-01 
+6.7500000E+00 +7.3520940E+01 -1.3308218E-02 +6.2099484E-02 -2.0665818E-09 +3.9255955E-07 -2.0774023E-09 +2.5795373E-07 -8.2815105E-02 +1.9365543E-04 -6.4999971E+04 -8.3041094E-02 -8.6924595E-03 -6.4999889E+04 -2.4812174E-04 -8.6924595E-03 -1.9715883E-03 +8.4466863E-04 -3.7661910E-10 +1.7019129E-01 
+7.5000000E+00 +7.4260000E+01 -1.4786913E-02 +6.2723748E-02 -1.5680274E-09 +3.9221184E-07 -1.5737702E-09 +2.5720830E-07 -4.1432102E-02 +1.9365614E-04 -6.4999974E+04 -4.1425510E-02 -4.7003513E-03 -6.4999933E+04 +6.5779329E-06 -4.7003513E-03 -1.9715889E-03 +8.4466992E-04 -2.0365261E-10 +1.7019129E-01 
+4.5000000E+00 +7.5000000E+01 -8.8721486E-03 +6.3348796E-02 -5.8914229E-10 +3.9450963E-07 -5.8903822E-10 +2.5965349E-07 +0.0000000E+00 +1.9365670E-04 -6.4999953E+04 +3.0788605E-04 -2.0108670E-04 -6.4999953E+04 +3.0791322E-04 -2.0108670E-04 -1.9715888E-03 +8.4467091E-04 -8.7125046E-12 +1.7019129E-01 
+4.5000000E+00 +7.3523760E+01 -8.8721451E-03 +6.2101861E-02 -1.4076060E-09 +3.9407304E-07 -1.4164394E-09 +2.5943630E-07 -8.2666512E-02 +1.9365536E-04 -6.4999961E+04 -8.3511174E-02 -7.0863161E-03 -6.4999878E+04 -8.6538669E-04 -7.0863161E-03 -1.9715880E-03 +8.4466848E-04 -3.0702956E-10 +1.7019129E-01 
